Substructure,Count,Count ratio,Number_of_molecules_with_fragment,Ratio_of_Molecules_with_Fragment
c1ccc2cc3ccccc3cc2c1,19,2.473958333333333,9,12.676056338028168
C1=CC2=Cc3cccc3[CH2-][C+]2=C1,16,2.083333333333333,0,0.0
C1=C(c2ccccc2)C2=Cc3cccc3[CH2-][C+]2=C1,14,1.8229166666666667,0,0.0
C1=CC2=C(c3ccccc3)c3cccc3[CH2-][C+]2=C1,12,1.5625,0,0.0
C1=CC(c2ccccc2)=[C+]2[CH2-]c3cccc3C=C12,12,1.5625,0,0.0
C1=C(c2ccccc2)C2=C(c3ccccc3)c3cccc3[CH2-][C+]2=C1,9,1.171875,0,0.0
C1=C(c2ccccc2)C2=Cc3cccc3[CH2-][C+]2=C1c1ccccc1,9,1.171875,0,0.0
c1ccc2ccccc2c1,9,1.171875,14,19.718309859154928
[C-]1c2cccc2C=C2C=CC=[C+]12,9,1.171875,0,0.0
C1=CC2=Cc3cccc3[CH2-]C2=C1,8,1.0416666666666665,0,0.0
c1ccc2cccc2c1,8,1.0416666666666665,0,0.0
C1=CC(c2ccccc2)=[C+]2[CH2-]c3cccc3C(c3ccccc3)=C12,8,1.0416666666666665,0,0.0
C1=C2[CH2-]c3cccc3C=C2[CH2-]c2cccc21,8,1.0416666666666665,0,0.0
C1=C2[CH2-]c3cccc3C(c3cccc3)=C2[CH2-]c2cccc21,7,0.9114583333333334,0,0.0
c1ccccc1,7,0.9114583333333334,59,83.09859154929578
C1=CC2=C(c3ccccc3)c3cccc3[CH2-]C2=C1,5,0.6510416666666667,0,0.0
C1=C2[CH2-]c3cccc3C(c3ccccc3)=C2[CH2-]c2cccc21,5,0.6510416666666667,0,0.0
C1=C(c2ccccc2)C=[C+]2[CH2-]c3cccc3C=C12,4,0.5208333333333333,0,0.0
C1=C(c2ccccc2)C=[C+]2[CH2-]c3cccc3C(c3ccccc3)=C12,4,0.5208333333333333,0,0.0
C1=Cc2ccccc2C1,4,0.5208333333333333,6,8.450704225352112
C1=C2[CH2-]c3cccc3C=[C+]2[CH2-]c2cccc21,4,0.5208333333333333,0,0.0
C1=C2[CH2-]c3cccc3C=C2C(c2ccccc2)=C1,4,0.5208333333333333,0,0.0
C1=C2[CH2-]c3cccc3C=C2c2ccccc21,4,0.5208333333333333,0,0.0
C1=CC2=Cc3cccc3[CH2-][CH2-][C+]2=C1,4,0.5208333333333333,0,0.0
[C-]1C2=CC=CC2=Cc2cccc21,4,0.5208333333333333,0,0.0
c1ccc(-c2c3ccccc3cc3ccccc23)cc1,4,0.5208333333333333,2,2.8169014084507045
C1=C2c3ccccc3C=[C+]2[CH2-]c2cccc21,4,0.5208333333333333,0,0.0
c1ccc2c(c1)Cc1ccccc1-2,4,0.5208333333333333,5,7.042253521126761
[C-]1C2=Cc3cccc3[C-]C2=Cc2cccc21,4,0.5208333333333333,0,0.0
C1=C2[CH2-]c3cccc3C(c3ccccc3)=C2c2ccccc21,4,0.5208333333333333,0,0.0
c1ccc2c(c1)CCC2,3,0.390625,1,1.4084507042253522
c1ccc2c(c1)ccc1ccccc12,3,0.390625,2,2.8169014084507045
[C+]1=C(c2ccccc2)CC=CC1=Cc1c2ccccc2cc2ccccc12,3,0.390625,0,0.0
c1ccc(C2=C3[CH2-]c4cccc4C(c4cccc4)=C3[CH2-]c3cccc32)c1,3,0.390625,0,0.0
C1=C2[CH2-]c3cccc3C(c3ccccc3)=[C+]2[CH2-]c2cccc21,3,0.390625,0,0.0
C1=C(c2ccccc2)C2=Cc3cccc3[CH2-][CH2-][C+]2=C1,3,0.390625,0,0.0
C1=C(c2ccccc2)C2=C(c3ccccc3)c3cccc3[CH-][C+]2=C1c1ccccc1,3,0.390625,0,0.0
C1=C(c2ccccc2)C2=C(c3ccccc3)c3cccc3[CH2-][C+]2=C1c1ccccc1,3,0.390625,0,0.0
C1=C(c2ccccc2)C(c2ccccc2)=[C+]2[CH2-]c3cccc3C=C12,2,0.26041666666666663,0,0.0
C1=C(C2=Cc3cccc3[CH2-][C+]2=C2c3ccccc3-c3ccccc32)C(=C2c3ccccc3[CH2-]c3cccc32)c2ccccc21,2,0.26041666666666663,0,0.0
[C-]1c2ccccc2Cc2cccc21,2,0.26041666666666663,0,0.0
C=C1[CH+]=CC=C1c1ccccc1,2,0.26041666666666663,0,0.0
C1=C2C=[C+]2[CH2-][CH2-]c2cccc21,2,0.26041666666666663,0,0.0
C1=[C+]2[CH2-][CH2-]c3cccc3C(c3ccccc3)=C12,2,0.26041666666666663,0,0.0
C1=C2C(c3ccccc3)=[C+]2[CH2-][CH2-]c2cccc21,2,0.26041666666666663,0,0.0
C=C1[CH+]=CC(c2ccccc2)=C1c1ccccc1,2,0.26041666666666663,0,0.0
C=C1CC(c2ccccc2)=C2C=Cc3ccccc3C12,2,0.26041666666666663,0,0.0
C=C1CC=C2C(c3ccccc3)=Cc3ccccc3C12,2,0.26041666666666663,0,0.0
C=C1CC(c2ccccc2)=C2C=C(c3ccccc3)c3ccccc3C12,2,0.26041666666666663,0,0.0
C=C1CC=C2C(c3ccccc3)=C(c3ccccc3)c3ccccc3C12,2,0.26041666666666663,0,0.0
[C+]=C1C=CC=C2[CH2-]c3cc(-c4ccccc4)cc3C(c3ccccc3)=C12,2,0.26041666666666663,0,0.0
C1=C[C+](=C2c3ccccc3-c3ccccc32)[CH2-]c2cccc21,2,0.26041666666666663,0,0.0
[C+]1=CC=CC1=C1c2cccc2[CH2-]c2cccc21,2,0.26041666666666663,0,0.0
C=C1CC=C2C=C(c3ccccc3)c3ccccc3C12,2,0.26041666666666663,0,0.0
C1=C2C=C(c3cccc3)C=C2[CH2-]c2cccc21,2,0.26041666666666663,0,0.0
[C+]1=Cc2cccc2[CH2-]C1=Cc1c2ccccc2cc2ccccc12,2,0.26041666666666663,0,0.0
C=C1CC(=C(c2cccc2)c2ccccc2Cc2ccccc2)c2ccccc21,2,0.26041666666666663,0,0.0
c1ccc(Cc2ccccc2)cc1,2,0.26041666666666663,10,14.084507042253522
C=C1CC(=C(c2ccccc2)c2cccc2)c2ccccc21,2,0.26041666666666663,0,0.0
C=C1CC(c2ccccc2)=C2C(c3ccccc3)=Cc3ccccc3C12,2,0.26041666666666663,0,0.0
C1=C(c2ccccc2)C(c2cccc2)=[C+]2[CH2-]c3cccc3C=C12,2,0.26041666666666663,0,0.0
C1=CC(c2cccc2)=[C+]2[CH2-]c3cccc3C=C12,2,0.26041666666666663,0,0.0
C1=C(c2ccccc2)c2cccc2[CH2-][C+]1=C1c2ccccc2-c2ccccc21,2,0.26041666666666663,0,0.0
C1=Cc2ccccc2C1=C1c2ccccc2[CH2-]c2cccc21,2,0.26041666666666663,0,0.0
[C+]=C1C=CC=C2[CH2-]c3c(ccc3-c3ccccc3)C=C12,2,0.26041666666666663,0,0.0
C1=C(C2=C(c3ccccc3)c3cccc3[CH2-][C+]2=C2c3ccccc3-c3ccccc32)C(=C2c3ccccc3[CH2-]c3cccc32)c2ccccc21,2,0.26041666666666663,0,0.0
C1=C2[CH2-]c3ccc(-c4cccc4)c3C=C2c2ccccc21,2,0.26041666666666663,0,0.0
[C-]1C2=Cc3ccccc3C2=Cc2cccc21,2,0.26041666666666663,0,0.0
[C+]=C1C=CC(=c2ccc[c+]3c2c(-c2ccccc2)c2cccc23)C(c2ccc3ccccc23)=C1,2,0.26041666666666663,0,0.0
[C+]=C1C=CC(=c2ccc(-c3ccccc3)[c+]3c2cc2cccc23)C(c2ccc3ccccc23)=C1,2,0.26041666666666663,0,0.0
[C+]=C1C=CC(=c2ccc(-c3ccccc3)[c+]3c2c(-c2ccccc2)c2cccc23)C=C1,2,0.26041666666666663,0,0.0
[C+]=C1C=CC(=c2ccc(-c3ccccc3)[c+]3c2cc2cccc23)C=C1,2,0.26041666666666663,0,0.0
[C+]=C1C=CC(=c2ccc[c+]3c2cc2cccc23)C=C1,2,0.26041666666666663,0,0.0
[C+]=C1C=CC(=c2ccc[c+]3c2cc2cccc23)C(c2ccc3ccccc23)=C1,2,0.26041666666666663,0,0.0
[C+]=C1C=CC(=c2ccc[c+]3c2c(-c2ccccc2)c2cccc23)C=C1,2,0.26041666666666663,0,0.0
C=C1[CH+]=C(c2ccccc2)C=C1c1ccccc1,2,0.26041666666666663,0,0.0
[C+]=C1C=CC(=c2ccc(-c3ccccc3)[c+]3c2c(-c2ccccc2)c2cccc23)C(c2ccc3ccccc23)=C1,2,0.26041666666666663,0,0.0
C=C1C=C(c2ccccc2)C=[CH+]1,2,0.26041666666666663,0,0.0
C=C1C=CC(c2ccccc2)=[CH+]1,2,0.26041666666666663,0,0.0
C=C1C=C(c2ccccc2)C(c2ccccc2)=[CH+]1,2,0.26041666666666663,0,0.0
[C-]1c2cccc2C=C2c3ccccc3C=[C+]12,2,0.26041666666666663,0,0.0
C1=C(c2ccccc2)c2ccccc2C1=c1c2ccccc2c(=Cc2ccccc2)c2ccccc12,2,0.26041666666666663,1,1.4084507042253522
C1=Cc2ccccc2C1=c1c2ccccc2c(=Cc2ccccc2)c2ccccc12,2,0.26041666666666663,1,1.4084507042253522
C1=CC(=[C+]2[CH2-]C(c3ccccc3)C=C3[CH2-]c4cccc4C=C32)C=C1,2,0.26041666666666663,0,0.0
C1=CC(=[C+]2[CH2-]CC=C3[CH2-]c4cccc4C=C32)C=C1,2,0.26041666666666663,0,0.0
C1=CC(=[C+]2[CH2-]CC=C3[CH2-]c4cccc4C(c4ccccc4)=C32)C=C1,2,0.26041666666666663,0,0.0
C1=C2c3ccccc3C(c3ccccc3)=[C+]2[CH2-]c2cccc21,2,0.26041666666666663,0,0.0
C1=[C+]2[CH2-]c3cccc3C(c3cccc3)=C2c2ccccc21,2,0.26041666666666663,0,0.0
C1=C(c2cccc2)c2ccccc2C1=C1c2ccccc2[CH2-]c2cccc21,2,0.26041666666666663,0,0.0
C1=C(c2ccccc2)C2=Cc3cccc3[CH2-][C+]2=C1c1cccc1,2,0.26041666666666663,0,0.0
C1=CC(c2cccc2)=[C+]2[CH2-]c3cccc3C(c3ccccc3)=C12,2,0.26041666666666663,0,0.0
C1=C2C(c3ccccc3)=C(c3ccccc3)C(c3cccc3)=[C+]2[CH2-]c2cccc21,2,0.26041666666666663,0,0.0
c1ccc(-c2cc3ccccc3c3ccccc23)cc1,2,0.26041666666666663,1,1.4084507042253522
C1=CC2=Cc3cccc[c+]3[CH2-]C2C=C1,2,0.26041666666666663,0,0.0
C1=CC2[CH2-][c+]3ccccc3C(c3ccccc3)=C2C(c2ccccc2)=C1,2,0.26041666666666663,0,0.0
C1=CC2=C(c3cccc(-c4c5ccccc5cc5ccccc45)c3)c3cccc[c+]3[CH2-]C2C=C1,2,0.26041666666666663,0,0.0
[C+]1=CCC=CC1=Cc1c2ccccc2cc2ccccc12,2,0.26041666666666663,0,0.0
C=c1ccc2ccccc2c1,2,0.26041666666666663,0,0.0
[C+]1=C(c2ccccc2)CC=C(c2cccc3ccccc23)C1=Cc1c2ccccc2cc2ccccc12,2,0.26041666666666663,0,0.0
[C+]1=CCC=C(c2cccc3ccccc23)C1=Cc1c2ccccc2cc2ccccc12,2,0.26041666666666663,0,0.0
C=C(Cc1ccccc1)c1ccccc1,2,0.26041666666666663,2,2.8169014084507045
C1=C(c2ccccc2)C2=C(c3cc4ccccc4c3)c3cccc3[CH2-][C+]2=C1,2,0.26041666666666663,0,0.0
C1=CC(c2ccccc2)=[C+]2[CH2-]c3cccc3C(c3cc4ccccc4c3)=C12,2,0.26041666666666663,0,0.0
C(=Cc1ccccc1)c1ccccc1,2,0.26041666666666663,13,18.30985915492958
C1=CC2=C(c3cc4ccccc4c3)c3cccc3[CH2-][C+]2=C1,2,0.26041666666666663,0,0.0
C1=C2C(c3ccccc3)=C(c3ccccc3)C=[C+]2[CH2-]c2cccc21,2,0.26041666666666663,0,0.0
C=C1C(=Cc2ccccc2)C(=Cc2ccccc2)c2ccccc21,2,0.26041666666666663,0,0.0
C1=C2Cc3ccccc3C=[C+]2[CH2-]c2cccc21,2,0.26041666666666663,0,0.0
c1ccc2c(c1)C(=C1Cc3c4ccccc4cc4cccc1c34)c1ccccc1-2,2,0.26041666666666663,0,0.0
C=C1CC(=Cc2cc3ccccc3c2)c2cc3ccccc3cc21,2,0.26041666666666663,0,0.0
c1ccc(-c2cccc2)c1,2,0.26041666666666663,0,0.0
C1=C2[CH2-]c3cccc3C(c3ccc(-c4cccc4)c3)=C2[CH2-]c2cccc21,2,0.26041666666666663,0,0.0
[C+]=C1C=CC=C2[CH2-]c3cc(-c4ccccc4)cc3C=C12,2,0.26041666666666663,0,0.0
[C+]=C1C=CC=C2[CH2-]c3cccc3C(c3ccccc3)=C12,2,0.26041666666666663,0,0.0
[C+]=C1C=CC=C2[CH2-]c3c(cc(-c4ccccc4)c3-c3ccccc3)C=C12,2,0.26041666666666663,0,0.0
[C+]=C1C=CC=C2[CH2-]c3cccc3C=C12,2,0.26041666666666663,0,0.0
[C+]=C1C=CC=C2[CH2-]c3c(ccc3-c3ccccc3)C(c3ccccc3)=C12,2,0.26041666666666663,0,0.0
C1=CC2=C(c3ccccc3)c3cccc[c+]3[CH2-]C2C=C1,2,0.26041666666666663,0,0.0
C1=CC2[CH2-][c+]3ccccc3C=C2C(c2ccccc2)=C1,2,0.26041666666666663,0,0.0
C1=CC2=C(c3cccc3)c3cccc3[CH2-]C2=C1,2,0.26041666666666663,0,0.0
C1=C2C(=C(c3ccccc3)c3ccccc32)[CH2-]c2cccc21,2,0.26041666666666663,0,0.0
C1=[C+]2[CH2-]c3cccc3C(c3ccccc3)=C2C(c2ccccc2)=C1c1ccccc1,2,0.26041666666666663,0,0.0
C1=C(c2ccccc2)C(c2cccc2)=[C+]2[CH2-]c3cccc3C(c3ccccc3)=C12,2,0.26041666666666663,0,0.0
C1=C(c2ccccc2)C2=C(c3ccccc3)c3cccc3[CH2-][C+]2=C1c1cccc1,2,0.26041666666666663,0,0.0
C=C(=C)(c1ccccc1)c1ccc2c3c(ccc12)C(=C1c2ccccc2-c2ccccc21)C=C3,2,0.26041666666666663,0,0.0
C1=Cc2c(ccc3cccc23)C1=C1c2ccccc2-c2ccccc21,2,0.26041666666666663,0,0.0
C1=C(c2ccccc2)C=[C+]2[CH2-][CH2-]c3cccc3C=C12,2,0.26041666666666663,0,0.0
C1=C(c2ccccc2)C2=C(c3ccccc3)c3cccc3[CH2-][CH2-][C+]2=C1,2,0.26041666666666663,0,0.0
C1=C2C(c3ccccc3)=C(c3ccccc3)C=[C+]2[CH2-][CH2-]c2cccc21,2,0.26041666666666663,0,0.0
C1=C(c2ccccc2)C=[C+]2[CH2-][CH2-]c3cccc3C(c3ccccc3)=C12,2,0.26041666666666663,0,0.0
C1=CC2=C(c3ccccc3)c3cccc3[CH2-][CH2-][C+]2=C1,2,0.26041666666666663,0,0.0
